id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
1237,maxent,0.10469135802469136,0.9067810560188304,4.0,20.0,4.0,66.0,100.0,227.0,543.0
1218,random,0.05436390532544379,0.9513180062789248,3.0,6.0,3.0,330.0,22.0,161.0,177.0
1218,niche,0.04805843906189927,0.9367553570658793,2.0,19.0,3.0,161.0,26.0,124.0,220.0
1218,cascade,0.06016375934496262,0.9351071875364486,5.0,9.0,10.0,322.0,38.0,299.0,301.0
1218,hierarchy,0.05446778212887148,0.9496683967505335,1.0,6.0,3.0,355.0,49.0,149.0,157.0
1218,maxent,0.053399786400854396,0.9149694480788713,2.0,40.0,0.0,44.0,37.0,57.0,981.0
1235,random,0.06574141709276844,0.9472096847944356,4.0,2.0,1.0,110.0,7.0,58.0,45.0
1235,niche,0.04897959183673469,0.9317153032105705,2.0,12.0,15.0,28.0,4.0,56.0,60.0
1235,cascade,0.07377647918188458,0.9330615272007193,4.0,5.0,7.0,172.0,28.0,145.0,138.0
1235,hierarchy,0.0664718772826881,0.9489831427627526,2.0,7.0,0.0,149.0,9.0,87.0,87.0
1235,maxent,0.0679327976625274,0.9246047606891993,3.0,24.0,1.0,60.0,60.0,11.0,380.0
12,random,0.015406591164166922,0.9702325306134989,3.0,20.0,17.0,188.0,1.0,94.0,101.0
12,niche,0.0222117202268431,0.9483222582423605,2.0,30.0,23.0,133.0,7.0,233.0,338.0
12,cascade,0.01693704724007754,0.9666100218909218,6.0,21.0,22.0,173.0,8.0,178.0,154.0
12,hierarchy,0.0148,0.9716235420557997,1.0,15.0,21.0,169.0,0.0,100.0,78.0
12,maxent,0.014704440741103813,0.9224510183647255,2.0,26.0,75.0,0.0,0.0,1523.0,154.0
13,random,0.028120713305898493,0.9689075224438131,2.0,10.0,13.0,98.0,1.0,63.0,55.0
