id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
1262,niche,0.09171597633136094,0.9034899830730732,2.0,9.0,5.0,63.0,20.0,100.0,121.0
1262,cascade,0.0832,0.932390319049159,4.0,5.0,6.0,50.0,11.0,53.0,48.0
1262,hierarchy,0.0928,0.9287972556925883,1.0,2.0,4.0,47.0,3.0,41.0,24.0
1262,maxent,0.08875739644970414,0.8969918025629944,2.0,14.0,7.0,4.0,12.0,115.0,211.0
1261,random,0.11805555555555555,0.9326890219278611,3.0,3.0,3.0,15.0,4.0,5.0,3.0
1261,niche,0.2013888888888889,0.8999584552254878,2.0,2.0,2.0,14.0,2.0,9.0,12.0
1261,cascade,0.06944444444444445,0.9669040200814274,2.0,5.0,4.0,6.0,0.0,2.0,4.0
1261,hierarchy,0.10059171597633136,0.9526202479524427,1.0,2.0,4.0,10.0,0.0,10.0,5.0
1261,maxent,0.10059171597633136,0.9509036100737882,2.0,7.0,3.0,5.0,2.0,14.0,20.0
1219,random,0.0625,0.9350548674981995,1.0,1.0,1.0,379.0,17.0,198.0,235.0
1219,niche,0.057716836734693876,0.9118246149772927,2.0,14.0,5.0,308.0,58.0,246.0,442.0
1219,cascade,0.05963010204081633,0.9345088902975888,4.0,5.0,9.0,332.0,46.0,370.0,339.0
1219,hierarchy,0.05580357142857143,0.9548635437034596,2.0,8.0,1.0,402.0,16.0,178.0,221.0
1219,maxent,0.05644132653061224,0.9150735411524642,4.0,32.0,0.0,55.0,23.0,52.0,181.0
1237,random,0.10320987654320987,0.937381845471166,1.0,0.0,0.0,400.0,48.0,193.0,185.0
1237,niche,0.10814814814814815,0.8871030904343266,3.0,9.0,0.0,409.0,140.0,235.0,502.0
1237,cascade,0.10864197530864197,0.9134807063747686,3.0,6.0,6.0,509.0,135.0,571.0,610.0
1237,hierarchy,0.10419753086419753,0.9313719712376078,1.0,5.0,0.0,573.0,102.0,284.0,359.0
1237,maxent,0.10469135802469136,0.9061751155108555,4.0,20.0,4.0,182.0,242.0,332.0,896.0
1218,random,0.05767176931292275,0.9454001040301329,4.0,3.0,0.0,351.0,20.0,158.0,174.0
1218,niche,0.06479174083303667,0.906517001829172,2.0,18.0,1.0,237.0,29.0,273.0,506.0
1218,cascade,0.05411178355286579,0.9368100761708279,3.0,8.0,11.0,216.0,38.0,284.0,233.0
1218,hierarchy,0.05482378070487718,0.9407815724133762,2.0,6.0,1.0,262.0,11.0,152.0,185.0
1218,maxent,0.053399786400854396,0.9103604696359129,2.0,40.0,0.0,31.0,31.0,18.0,630.0
1235,random,0.0664718772826881,0.9440856733001347,1.0,3.0,1.0,149.0,9.0,75.0,67.0
1235,niche,0.07596785975164354,0.9205713561012219,2.0,11.0,1.0,78.0,19.0,111.0,234.0
1235,cascade,0.0635500365230095,0.9282432564402053,4.0,7.0,8.0,121.0,18.0,102.0,121.0
1235,hierarchy,0.0679327976625274,0.9534730359249267,1.0,4.0,0.0,137.0,13.0,66.0,67.0
1235,maxent,0.0679327976625274,0.9163773834177065,4.0,24.0,1.0,37.0,26.0,23.0,243.0
12,random,0.017144097222222224,0.9701327016046302,3.0,12.0,15.0,194.0,8.0,89.0,111.0
12,niche,0.02303875236294896,0.9437561712870625,2.0,29.0,18.0,218.0,15.0,228.0,465.0
12,cascade,0.0155170581358274,0.9662211588250893,4.0,32.0,27.0,107.0,6.0,118.0,150.0
12,hierarchy,0.015,0.9742089632553509,1.0,19.0,20.0,175.0,0.0,122.0,88.0
12,maxent,0.014704440741103813,0.9252290204566019,2.0,26.0,75.0,0.0,0.0,1523.0,154.0
13,random,0.034531861872552506,0.9706131422523406,1.0,4.0,4.0,112.0,3.0,46.0,47.0
13,niche,0.03037293348712034,0.9577171200942781,2.0,19.0,8.0,57.0,9.0,39.0,101.0
13,cascade,0.031804733727810654,0.9549711111769077,5.0,14.0,16.0,87.0,1.0,91.0,74.0
13,hierarchy,0.03017832647462277,0.9725060981808245,1.0,6.0,11.0,116.0,1.0,78.0,52.0
13,maxent,0.03155006858710562,0.9432378996582592,2.0,15.0,39.0,0.0,0.0,401.0,153.0
18,random,0.04974489795918367,0.9593850546211846,3.0,4.0,6.0,49.0,3.0,17.0,16.0
18,niche,0.06804733727810651,0.941925461808528,2.0,9.0,2.0,29.0,1.0,20.0,23.0
18,cascade,0.04881656804733728,0.9661407528542173,2.0,6.0,5.0,26.0,3.0,14.0,24.0
18,hierarchy,0.04280618311533888,0.9773891956315657,1.0,8.0,4.0,32.0,0.0,11.0,17.0
18,maxent,0.04518430439952437,0.9407739973316412,2.0,11.0,18.0,0.0,0.0,79.0,47.0
3259,random,0.1675,0.9194713686152675,1.0,0.0,0.0,49.0,10.0,22.0,28.0
3259,niche,0.1745152354570637,0.878674545651793,2.0,4.0,4.0,14.0,19.0,36.0,60.0
3259,cascade,0.1475,0.9020633955174201,3.0,4.0,2.0,60.0,44.0,66.0,97.0
3259,hierarchy,0.15,0.9186258695071544,1.0,1.0,3.0,136.0,4.0,97.0,74.0
3259,maxent,0.15,0.9251711979038846,2.0,3.0,6.0,33.0,38.0,101.0,75.0
908,random,0.031875,0.9765425861909536,1.0,9.0,6.0,53.0,0.0,18.0,22.0
908,niche,0.040105193951347796,0.9395511383177226,2.0,17.0,10.0,57.0,10.0,53.0,153.0
908,cascade,0.04164187983343248,0.9550216223215945,3.0,8.0,16.0,70.0,8.0,93.0,55.0
908,hierarchy,0.03461330448891293,0.9696024269929023,2.0,6.0,11.0,73.0,1.0,47.0,29.0
908,maxent,0.03407247160627366,0.9305352106757521,2.0,17.0,26.0,0.0,0.0,188.0,101.0
23,random,0.06790123456790123,0.9852528624076358,3.0,4.0,2.0,17.0,1.0,6.0,5.0
23,niche,0.1111111111111111,0.9226800571235715,2.0,6.0,4.0,25.0,0.0,23.0,31.0
23,cascade,0.06172839506172839,0.9647911476930985,4.0,7.0,5.0,11.0,1.0,8.0,12.0
23,hierarchy,0.04986149584487535,0.9740237001757666,1.0,4.0,7.0,12.0,0.0,7.0,3.0
23,maxent,0.055401662049861494,0.9520957236823484,2.0,8.0,11.0,0.0,0.0,31.0,15.0
909,random,0.021149962801572962,0.965635572547956,2.0,16.0,7.0,363.0,11.0,155.0,192.0
909,niche,0.024083044982698962,0.9350358978521197,2.0,35.0,24.0,150.0,20.0,203.0,704.0
909,cascade,0.02092877967513536,0.952169492492934,7.0,25.0,21.0,239.0,12.0,263.0,296.0
909,hierarchy,0.0193,0.9667500485106563,1.0,10.0,8.0,316.0,3.0,170.0,142.0
909,maxent,0.0192,0.9500919516669115,2.0,24.0,76.0,0.0,0.0,1150.0,353.0
946,random,0.039388020833333336,0.9433016837175572,1.0,2.0,1.0,947.0,37.0,474.0,470.0
946,niche,0.035148572089258874,0.92751640185119,3.0,28.0,18.0,399.0,51.0,470.0,668.0
